County or equivalent,State or district,
Yamhill County,Oregon,
Adams County,Pennsylvania,
Allegheny County,Pennsylvania,
Armstrong County,Pennsylvania,
Beaver County,Pennsylvania,
Bedford County,Pennsylvania,
Berks County,Pennsylvania,
Blair County,Pennsylvania,
Bradford County,Pennsylvania,
Bucks County,Pennsylvania,
Butler County,Pennsylvania,
Cambria County,Pennsylvania,
Cameron County,Pennsylvania,
Carbon County,Pennsylvania,
Centre County,Pennsylvania,
Chester County,Pennsylvania,
Clarion County,Pennsylvania,
Clearfield County,Pennsylvania,
Clinton County,Pennsylvania,
Columbia County,Pennsylvania,
Crawford County,Pennsylvania,
Cumberland County,Pennsylvania,
Dauphin County,Pennsylvania,
Delaware County,Pennsylvania,
Elk County,Pennsylvania,
Erie County,Pennsylvania,
Fayette County,Pennsylvania,
Forest County,Pennsylvania,
Franklin County,Pennsylvania,
Fulton County,Pennsylvania,
Greene County,Pennsylvania,
Huntingdon County,Pennsylvania,
Indiana County,Pennsylvania,
Jefferson County,Pennsylvania,
Juniata County,Pennsylvania,
Lackawanna County,Pennsylvania,
Lancaster County,Pennsylvania,
Lawrence County,Pennsylvania,
Lebanon County,Pennsylvania,
Lehigh County,Pennsylvania,
Luzerne County,Pennsylvania,
Lycoming County,Pennsylvania,
McKean County,Pennsylvania,
Mercer County,Pennsylvania,
Mifflin County,Pennsylvania,
Monroe County,Pennsylvania,
Montgomery County,Pennsylvania,
Montour County,Pennsylvania,
Northampton County,Pennsylvania,
Northumberland County,Pennsylvania,
Perry County,Pennsylvania,
Philadelphia County,Pennsylvania,
Pike County,Pennsylvania,
Potter County,Pennsylvania,
Schuylkill County,Pennsylvania,
Snyder County,Pennsylvania,
Somerset County,Pennsylvania,
Sullivan County,Pennsylvania,
Susquehanna County,Pennsylvania,
Tioga County,Pennsylvania,
Union County,Pennsylvania,
Venango County,Pennsylvania,
Warren County,Pennsylvania,
Washington County,Pennsylvania,
Wayne County,Pennsylvania,
Westmoreland County,Pennsylvania,
Wyoming County,Pennsylvania,
York County,Pennsylvania,
Bristol County,Rhode Island,
Kent County,Rhode Island,
Newport County,Rhode Island,
Providence County,Rhode Island,
Washington County,Rhode Island,
Abbeville County,South Carolina,
Aiken County,South Carolina,
Allendale County,South Carolina,
Anderson County,South Carolina,
Bamberg County,South Carolina,
Barnwell County,South Carolina,
Beaufort County,South Carolina,
Berkeley County,South Carolina,
Calhoun County,South Carolina,
Charleston County,South Carolina,
Cherokee County,South Carolina,
Chester County,South Carolina,
Chesterfield County,South Carolina,
Clarendon County,South Carolina,
Colleton County,South Carolina,
Darlington County,South Carolina,
Dillon County,South Carolina,
Dorchester County,South Carolina,
Edgefield County,South Carolina,
Fairfield County,South Carolina,
Florence County,South Carolina,
Georgetown County,South Carolina,
Greenville County,South Carolina,
Greenwood County,South Carolina,
Hampton County,South Carolina,
Horry County,South Carolina,
Jasper County,South Carolina,
Kershaw County,South Carolina,
Lancaster County,South Carolina,
Laurens County,South Carolina,
Lee County,South Carolina,
Lexington County,South Carolina,
McCormick County,South Carolina,
Marion County,South Carolina,
Marlboro County,South Carolina,
Newberry County,South Carolina,
Oconee County,South Carolina,
Orangeburg County,South Carolina,
Pickens County,South Carolina,
Richland County,South Carolina,
Saluda County,South Carolina,
Spartanburg County,South Carolina,
Sumter County,South Carolina,
Union County,South Carolina,
Williamsburg County,South Carolina,
York County,South Carolina,
Aurora County,South Dakota,
Beadle County,South Dakota,
Bennett County,South Dakota,
Bon Homme County,South Dakota,
Brookings County,South Dakota,
Brown County,South Dakota,
Brule County,South Dakota,
Buffalo County,South Dakota,
Butte County,South Dakota,
Campbell County,South Dakota,
Charles Mix County,South Dakota,
Clark County,South Dakota,
Clay County,South Dakota,
Codington County,South Dakota,
Corson County,South Dakota,
Custer County,South Dakota,
Davison County,South Dakota,
Day County,South Dakota,
Deuel County,South Dakota,
Dewey County,South Dakota,
Douglas County,South Dakota,
Edmunds County,South Dakota,
Fall River County,South Dakota,
Faulk County,South Dakota,
Grant County,South Dakota,
Gregory County,South Dakota,
Haakon County,South Dakota,
Hamlin County,South Dakota,
Hand County,South Dakota,
Hanson County,South Dakota,
Harding County,South Dakota,
Hughes County,South Dakota,
Hutchinson County,South Dakota,
Hyde County,South Dakota,
Jackson County,South Dakota,
Jerauld County,South Dakota,
Jones County,South Dakota,
Kingsbury County,South Dakota,
Lake County,South Dakota,
Lawrence County,South Dakota,
Lincoln County,South Dakota,
Lyman County,South Dakota,
McCook County,South Dakota,
McPherson County,South Dakota,
Marshall County,South Dakota,
Meade County,South Dakota,
Mellette County,South Dakota,
Miner County,South Dakota,
Minnehaha County,South Dakota,
Moody County,South Dakota,
Pennington County,South Dakota,
Perkins County,South Dakota,
Potter County,South Dakota,
Roberts County,South Dakota,
Sanborn County,South Dakota,
Shannon County,South Dakota,
Spink County,South Dakota,
Stanley County,South Dakota,
Sully County,South Dakota,
Todd County,South Dakota,
Tripp County,South Dakota,
Turner County,South Dakota,
Union County,South Dakota,
Walworth County,South Dakota,
Yankton County,South Dakota,
Ziebach County,South Dakota,
Anderson County,Tennessee,
Bedford County,Tennessee,
Benton County,Tennessee,
Bledsoe County,Tennessee,
Blount County,Tennessee,
Bradley County,Tennessee,
Campbell County,Tennessee,
Cannon County,Tennessee,
Carroll County,Tennessee,
Carter County,Tennessee,
Cheatham County,Tennessee,
Chester County,Tennessee,
Claiborne County,Tennessee,
Clay County,Tennessee,
Cocke County,Tennessee,
Coffee County,Tennessee,
Crockett County,Tennessee,
Cumberland County,Tennessee,
Davidson County,Tennessee,
Decatur County,Tennessee,
DeKalb County,Tennessee,
Dickson County,Tennessee,
Dyer County,Tennessee,
Fayette County,Tennessee,
Fentress County,Tennessee,
Franklin County,Tennessee,
Gibson County,Tennessee,
Giles County,Tennessee,
Grainger County,Tennessee,
Greene County,Tennessee,
Grundy County,Tennessee,
Hamblen County,Tennessee,
Hamilton County,Tennessee,
Hancock County,Tennessee,
Hardeman County,Tennessee,
Hardin County,Tennessee,
Hawkins County,Tennessee,
Haywood County,Tennessee,
Henderson County,Tennessee,
Henry County,Tennessee,
Hickman County,Tennessee,
Houston County,Tennessee,
Humphreys County,Tennessee,
Jackson County,Tennessee,
Jefferson County,Tennessee,
Johnson County,Tennessee,
Knox County,Tennessee,
Lake County,Tennessee,
Lauderdale County,Tennessee,
Lawrence County,Tennessee,
Lewis County,Tennessee,
Lincoln County,Tennessee,
Loudon County,Tennessee,
McMinn County,Tennessee,
McNairy County,Tennessee,
Macon County,Tennessee,
Madison County,Tennessee,
Marion County,Tennessee,
Marshall County,Tennessee,
Maury County,Tennessee,
Meigs County,Tennessee,
Monroe County,Tennessee,
Montgomery County,Tennessee,
Moore County,Tennessee,
Morgan County,Tennessee,
Obion County,Tennessee,
Overton County,Tennessee,
Perry County,Tennessee,
Pickett County,Tennessee,
Polk County,Tennessee,
Putnam County,Tennessee,
Rhea County,Tennessee,
Roane County,Tennessee,
Robertson County,Tennessee,
Rutherford County,Tennessee,
Scott County,Tennessee,
Sequatchie County,Tennessee,
Sevier County,Tennessee,
Shelby County,Tennessee,
Smith County,Tennessee,
Stewart County,Tennessee,
Sullivan County,Tennessee,
Sumner County,Tennessee,
Tipton County,Tennessee,
Trousdale County,Tennessee,
Unicoi County,Tennessee,
Union County,Tennessee,
Van Buren County,Tennessee,
Warren County,Tennessee,
Washington County,Tennessee,
Wayne County,Tennessee,
Weakley County,Tennessee,
White County,Tennessee,
Williamson County,Tennessee,
Wilson County,Tennessee,
Anderson County,Texas,
Andrews County,Texas,
Angelina County,Texas,
Aransas County,Texas,
Archer County,Texas,
Armstrong County,Texas,
Atascosa County,Texas,
Austin County,Texas,
Bailey County,Texas,
Bandera County,Texas,
Bastrop County,Texas,
Baylor County,Texas,
Bee County,Texas,
Bell County,Texas,
Bexar County,Texas,
Blanco County,Texas,
Borden County,Texas,
Bosque County,Texas,
Bowie County,Texas,
Brazoria County,Texas,
Brazos County,Texas,
Brewster County,Texas,
Briscoe County,Texas,
Brooks County,Texas,
Brown County,Texas,
Burleson County,Texas,
Burnet County,Texas,
Caldwell County,Texas,
Calhoun County,Texas,
Callahan County,Texas,
Cameron County,Texas,
Camp County,Texas,
Carson County,Texas,
Cass County,Texas,
Castro County,Texas,
Chambers County,Texas,
Cherokee County,Texas,
Childress County,Texas,
Clay County,Texas,
Cochran County,Texas,
Coke County,Texas,
Coleman County,Texas,
Collin County,Texas,
Collingsworth County,Texas,
Colorado County,Texas,
Comal County,Texas,
Comanche County,Texas,
Concho County,Texas,
Cooke County,Texas,
Coryell County,Texas,
Cottle County,Texas,
Crane County,Texas,
Crockett County,Texas,
Crosby County,Texas,
Culberson County,Texas,
Dallam County,Texas,
Dallas County,Texas,
Dawson County,Texas,
Deaf Smith County,Texas,
Delta County,Texas,
Denton County,Texas,
DeWitt County,Texas,
Dickens County,Texas,
Dimmit County,Texas,
Donley County,Texas,
Duval County,Texas,
Eastland County,Texas,
Ector County,Texas,
Edwards County,Texas,
Ellis County,Texas,
El Paso County,Texas,
Erath County,Texas,
Falls County,Texas,
Fannin County,Texas,
Fayette County,Texas,
Fisher County,Texas,
Floyd County,Texas,
Foard County,Texas,
Fort Bend County,Texas,
Franklin County,Texas,
Freestone County,Texas,
Frio County,Texas,
Gaines County,Texas,
Galveston County,Texas,
Garza County,Texas,
Gillespie County,Texas,
Glasscock County,Texas,
Goliad County,Texas,
Gonzales County,Texas,
Gray County,Texas,
Grayson County,Texas,
Gregg County,Texas,
Grimes County,Texas,
Guadalupe County,Texas,
Hale County,Texas,
Hall County,Texas,
Hamilton County,Texas,
Hansford County,Texas,
Hardeman County,Texas,
Hardin County,Texas,
Harris County,Texas,
Harrison County,Texas,
Hartley County,Texas,
Haskell County,Texas,
Hays County,Texas,
Hemphill County,Texas,
Henderson County,Texas,
Hidalgo County,Texas,
Hill County,Texas,
Hockley County,Texas,
Hood County,Texas,
Hopkins County,Texas,
Houston County,Texas,
Howard County,Texas,
Hudspeth County,Texas,
Hunt County,Texas,
Hutchinson County,Texas,
Irion County,Texas,
Jack County,Texas,
Jackson County,Texas,
Jasper County,Texas,
Jeff Davis County,Texas,
Jefferson County,Texas,
Jim Hogg County,Texas,
Jim Wells County,Texas,
Johnson County,Texas,
Jones County,Texas,
Karnes County,Texas,
Kaufman County,Texas,
Kendall County,Texas,
Kenedy County,Texas,
Kent County,Texas,
Kerr County,Texas,
Kimble County,Texas,
King County,Texas,
Kinney County,Texas,
Kleberg County,Texas,
Knox County,Texas,
Lamar County,Texas,
Lamb County,Texas,
Lampasas County,Texas,
La Salle County,Texas,
Lavaca County,Texas,
Lee County,Texas,
Leon County,Texas,
Liberty County,Texas,
Limestone County,Texas,
Lipscomb County,Texas,
Live Oak County,Texas,
Llano County,Texas,
Loving County,Texas,
Lubbock County,Texas,
Lynn County,Texas,
McCulloch County,Texas,
McLennan County,Texas,
McMullen County,Texas,
Madison County,Texas,
Marion County,Texas,
Martin County,Texas,
Mason County,Texas,
Matagorda County,Texas,
Maverick County,Texas,
Medina County,Texas,
Menard County,Texas,
Midland County,Texas,
Milam County,Texas,
Mills County,Texas,
Mitchell County,Texas,
Montague County,Texas,
Montgomery County,Texas,
Moore County,Texas,
Morris County,Texas,
Motley County,Texas,
Nacogdoches County,Texas,
Navarro County,Texas,
Newton County,Texas,
Nolan County,Texas,
Nueces County,Texas,
Ochiltree County,Texas,
Oldham County,Texas,
Orange County,Texas,
Palo Pinto County,Texas,
Panola County,Texas,
Parker County,Texas,
Parmer County,Texas,
Pecos County,Texas,
Polk County,Texas,
Potter County,Texas,
Presidio County,Texas,
Rains County,Texas,
Randall County,Texas,
Reagan County,Texas,
Real County,Texas,
Red River County,Texas,
Reeves County,Texas,
Refugio County,Texas,
Roberts County,Texas,
Robertson County,Texas,
Rockwall County,Texas,
Runnels County,Texas,
Rusk County,Texas,
Sabine County,Texas,
San Augustine County,Texas,
San Jacinto County,Texas,
San Patricio County,Texas,
San Saba County,Texas,
Schleicher County,Texas,
Scurry County,Texas,
Shackelford County,Texas,
Shelby County,Texas,
Sherman County,Texas,
Smith County,Texas,
Somervell County,Texas,
Starr County,Texas,
Stephens County,Texas,
Sterling County,Texas,
Stonewall County,Texas,
Sutton County,Texas,
Swisher County,Texas,
Tarrant County,Texas,
Taylor County,Texas,
Terrell County,Texas,
Terry County,Texas,
Throckmorton County,Texas,
Titus County,Texas,
Tom Green County,Texas,
Travis County,Texas,
Trinity County,Texas,
Tyler County,Texas,
Upshur County,Texas,
Upton County,Texas,
Uvalde County,Texas,
Val Verde County,Texas,
Van Zandt County,Texas,
Victoria County,Texas,
Walker County,Texas,
Waller County,Texas,
Ward County,Texas,
Washington County,Texas,
Webb County,Texas,
Wharton County,Texas,
Wheeler County,Texas,
Wichita County,Texas,
Wilbarger County,Texas,
Willacy County,Texas,
Williamson County,Texas,
Wilson County,Texas,
Winkler County,Texas,
Wise County,Texas,
Wood County,Texas,
Yoakum County,Texas,
Young County,Texas,
Zapata County,Texas,
Zavala County,Texas,
Beaver County,Utah,
Box Elder County,Utah,
Cache County,Utah,
Carbon County,Utah,
Daggett County,Utah,
Davis County,Utah,
Duchesne County,Utah,
Emery County,Utah,
Garfield County,Utah,
Grand County,Utah,
Iron County,Utah,
Juab County,Utah,
Kane County,Utah,
Millard County,Utah,
Morgan County,Utah,
Piute County,Utah,
Rich County,Utah,
Salt Lake County,Utah,
San Juan County,Utah,
Sanpete County,Utah,
Sevier County,Utah,
Summit County,Utah,
Tooele County,Utah,
Uintah County,Utah,
Utah County,Utah,
Wasatch County,Utah,
Washington County,Utah,
Wayne County,Utah,
Weber County,Utah,
Addison County,Vermont,
Bennington County,Vermont,
Caledonia County,Vermont,
Chittenden County,Vermont,
Essex County,Vermont,
Franklin County,Vermont,
Grand Isle County,Vermont,
Lamoille County,Vermont,
Orange County,Vermont,
Orleans County,Vermont,
Rutland County,Vermont,
Washington County,Vermont,
Windham County,Vermont,
Windsor County,Vermont,
Accomack County,Virginia,
Albemarle County,Virginia,
Alleghany County,Virginia,
Amelia County,Virginia,
Amherst County,Virginia,
Appomattox County,Virginia,
Arlington County,Virginia,
Augusta County,Virginia,
Bath County,Virginia,
Bedford County,Virginia,
Bland County,Virginia,
Botetourt County,Virginia,
Brunswick County,Virginia,
Buchanan County,Virginia,
Buckingham County,Virginia,
Campbell County,Virginia,
Caroline County,Virginia,
Carroll County,Virginia,
Charles City County,Virginia,
Charlotte County,Virginia,
Chesterfield County,Virginia,
Clarke County,Virginia,
Craig County,Virginia,
Culpeper County,Virginia,
Cumberland County,Virginia,
Dickenson County,Virginia,
Dinwiddie County,Virginia,
Essex County,Virginia,
Fairfax County,Virginia,
Fauquier County,Virginia,
Floyd County,Virginia,
Fluvanna County,Virginia,
Franklin County,Virginia,
Frederick County,Virginia,
Giles County,Virginia,
Gloucester County,Virginia,
Goochland County,Virginia,
Grayson County,Virginia,
Greene County,Virginia,
Greensville County,Virginia,
Halifax County,Virginia,
Hanover County,Virginia,
Henrico County,Virginia,
Henry County,Virginia,
Highland County,Virginia,
Isle of Wight County,Virginia,
James City County,Virginia,
King and Queen County,Virginia,
King George County,Virginia,
King William County,Virginia,
Lancaster County,Virginia,
Lee County,Virginia,
Loudoun County,Virginia,
Louisa County,Virginia,
Lunenburg County,Virginia,
Madison County,Virginia,
Mathews County,Virginia,
Mecklenburg County,Virginia,
Middlesex County,Virginia,
Montgomery County,Virginia,
Nelson County,Virginia,
New Kent County,Virginia,
Northampton County,Virginia,
Northumberland County,Virginia,
Nottoway County,Virginia,
Orange County,Virginia,
Page County,Virginia,
Patrick County,Virginia,
Pittsylvania County,Virginia,
Powhatan County,Virginia,
Prince Edward County,Virginia,
Prince George County,Virginia,
Prince William County,Virginia,
Pulaski County,Virginia,
Rappahannock County,Virginia,
Richmond County,Virginia,
Roanoke County,Virginia,
Rockbridge County,Virginia,
Rockingham County,Virginia,
Russell County,Virginia,
Scott County,Virginia,
Shenandoah County,Virginia,
Smyth County,Virginia,
Southampton County,Virginia,
Spotsylvania County,Virginia,
Stafford County,Virginia,
Surry County,Virginia,
Sussex County,Virginia,
Tazewell County,Virginia,
Warren County,Virginia,
Washington County,Virginia,
Westmoreland County,Virginia,
Wise County,Virginia,
Wythe County,Virginia,
York County,Virginia,
"Alexandria, City of",Virginia,
"Bedford, City of",Virginia,
"Bristol, City of",Virginia,
"Buena Vista, City of",Virginia,
"Charlottesville, City of",Virginia,
"Chesapeake, City of",Virginia,
"Colonial Heights, City of",Virginia,
"Covington, City of",Virginia,
"Danville, City of",Virginia,
"Emporia, City of",Virginia,
"Fairfax, City of",Virginia,
"Falls Church, City of",Virginia,
"Franklin, City of",Virginia,
"Fredericksburg, City of",Virginia,
"Galax, City of",Virginia,
"Hampton, City of",Virginia,
"Harrisonburg, City of",Virginia,
"Hopewell, City of",Virginia,
"Lexington, City of",Virginia,
"Lynchburg, City of",Virginia,
"Manassas, City of",Virginia,
"Manassas Park, City of",Virginia,
"Martinsville, City of",Virginia,
"Newport News, City of",Virginia,
"Norfolk, City of",Virginia,
"Norton, City of",Virginia,
"Petersburg, City of",Virginia,
"Poquoson, City of",Virginia,
"Portsmouth, City of",Virginia,
"Radford, City of",Virginia,
"Richmond, City of",Virginia,
"Roanoke, City of",Virginia,
"Salem, City of",Virginia,
"Staunton, City of",Virginia,
"Suffolk, City of",Virginia,
"Virginia Beach, City of",Virginia,
"Waynesboro, City of",Virginia,
"Williamsburg, City of",Virginia,
"Winchester, City of",Virginia,
Adams County,Washington,
Asotin County,Washington,
Benton County,Washington,
Chelan County,Washington,
Clallam County,Washington,
Clark County,Washington,
Columbia County,Washington,
Cowlitz County,Washington,
Douglas County,Washington,
Ferry County,Washington,
Franklin County,Washington,
Garfield County,Washington,
Grant County,Washington,
Grays Harbor County,Washington,
Island County,Washington,
Jefferson County,Washington,
King County,Washington,
Kitsap County,Washington,
Kittitas County,Washington,
Klickitat County,Washington,
Lewis County,Washington,
Lincoln County,Washington,
Mason County,Washington,
Okanogan County,Washington,
Pacific County,Washington,
Pend Oreille County,Washington,
Pierce County,Washington,
San Juan County,Washington,
Skagit County,Washington,
Skamania County,Washington,
Snohomish County,Washington,
Spokane County,Washington,
Stevens County,Washington,
Thurston County,Washington,
Wahkiakum County,Washington,
Walla Walla County,Washington,
Whatcom County,Washington,
Whitman County,Washington,
Yakima County,Washington,
Barbour County,West Virginia,
Berkeley County,West Virginia,
Boone County,West Virginia,
Braxton County,West Virginia,
Brooke County,West Virginia,
Cabell County,West Virginia,
Calhoun County,West Virginia,
Clay County,West Virginia,
Doddridge County,West Virginia,
Fayette County,West Virginia,
Gilmer County,West Virginia,
Grant County,West Virginia,
Greenbrier County,West Virginia,
Hampshire County,West Virginia,
Hancock County,West Virginia,
Hardy County,West Virginia,
Harrison County,West Virginia,
Jackson County,West Virginia,
Jefferson County,West Virginia,
Kanawha County,West Virginia,
Lewis County,West Virginia,
Lincoln County,West Virginia,
Logan County,West Virginia,
McDowell County,West Virginia,
Marion County,West Virginia,
Marshall County,West Virginia,
Mason County,West Virginia,
Mercer County,West Virginia,
Mineral County,West Virginia,
Mingo County,West Virginia,
Monongalia County,West Virginia,
Monroe County,West Virginia,
Morgan County,West Virginia,
Nicholas County,West Virginia,
Ohio County,West Virginia,
Pendleton County,West Virginia,
Pleasants County,West Virginia,
Pocahontas County,West Virginia,
Preston County,West Virginia,
Putnam County,West Virginia,
Raleigh County,West Virginia,
Randolph County,West Virginia,
Ritchie County,West Virginia,
Roane County,West Virginia,
Summers County,West Virginia,
Taylor County,West Virginia,
Tucker County,West Virginia,
Tyler County,West Virginia,
Upshur County,West Virginia,
Wayne County,West Virginia,
Webster County,West Virginia,
Wetzel County,West Virginia,
Wirt County,West Virginia,
Wood County,West Virginia,
Wyoming County,West Virginia,
Adams County,Wisconsin,
Ashland County,Wisconsin,
Barron County,Wisconsin,
Bayfield County,Wisconsin,
Brown County,Wisconsin,
Buffalo County,Wisconsin,
Burnett County,Wisconsin,
Calumet County,Wisconsin,
Chippewa County,Wisconsin,
Clark County,Wisconsin,
Columbia County,Wisconsin,
Crawford County,Wisconsin,
Dane County,Wisconsin,
Dodge County,Wisconsin,
Door County,Wisconsin,
Douglas County,Wisconsin,
Dunn County,Wisconsin,
Eau Claire County,Wisconsin,
Florence County,Wisconsin,
Fond du Lac County,Wisconsin,
Forest County,Wisconsin,
Grant County,Wisconsin,
Green County,Wisconsin,
Green Lake County,Wisconsin,
Iowa County,Wisconsin,
Iron County,Wisconsin,
Jackson County,Wisconsin,
Jefferson County,Wisconsin,
Juneau County,Wisconsin,
Kenosha County,Wisconsin,
Kewaunee County,Wisconsin,
La Crosse County,Wisconsin,
Lafayette County,Wisconsin,
Langlade County,Wisconsin,
Lincoln County,Wisconsin,
Manitowoc County,Wisconsin,
Marathon County,Wisconsin,
Marinette County,Wisconsin,
Marquette County,Wisconsin,
Menominee County,Wisconsin,
Milwaukee County,Wisconsin,
Monroe County,Wisconsin,
Oconto County,Wisconsin,
Oneida County,Wisconsin,
Outagamie County,Wisconsin,
Ozaukee County,Wisconsin,
Pepin County,Wisconsin,
Pierce County,Wisconsin,
Polk County,Wisconsin,
Portage County,Wisconsin,
Price County,Wisconsin,
Racine County,Wisconsin,
Richland County,Wisconsin,
Rock County,Wisconsin,
Rusk County,Wisconsin,
St. Croix County,Wisconsin,
Sauk County,Wisconsin,
Sawyer County,Wisconsin,
Shawano County,Wisconsin,
Sheboygan County,Wisconsin,
Taylor County,Wisconsin,
Trempealeau County,Wisconsin,
Vernon County,Wisconsin,
Vilas County,Wisconsin,
Walworth County,Wisconsin,
Washburn County,Wisconsin,
Washington County,Wisconsin,
Waukesha County,Wisconsin,
Waupaca County,Wisconsin,
Waushara County,Wisconsin,
Winnebago County,Wisconsin,
Wood County,Wisconsin,
Albany County,Wyoming,
Big Horn County,Wyoming,
Campbell County,Wyoming,
Carbon County,Wyoming,
Converse County,Wyoming,
Crook County,Wyoming,
Fremont County,Wyoming,
Goshen County,Wyoming,
Hot Springs County,Wyoming,
Johnson County,Wyoming,
Laramie County,Wyoming,
Lincoln County,Wyoming,
Natrona County,Wyoming,
Niobrara County,Wyoming,
Park County,Wyoming,
Platte County,Wyoming,
Sheridan County,Wyoming,
Sublette County,Wyoming,
Sweetwater County,Wyoming,
Teton County,Wyoming,
Uinta County,Wyoming,
Washakie County,Wyoming,
Weston County,Wyoming,
=======,,
﻿SNo,County or equivalent,State or district
1,Autauga County,Alabama
2,Baldwin County,Alabama
3,Barbour County,Alabama
4,Bibb County,Alabama
5,Blount County,Alabama
6,Bullock County,Alabama
7,Butler County,Alabama
8,Calhoun County,Alabama
9,Chambers County,Alabama
10,Cherokee County,Alabama
11,Chilton County,Alabama
12,Choctaw County,Alabama
13,Clarke County,Alabama
14,Clay County,Alabama
15,Cleburne County,Alabama
16,Coffee County,Alabama
17,Colbert County,Alabama
18,Conecuh County,Alabama
19,Coosa County,Alabama
20,Covington County,Alabama
21,Crenshaw County,Alabama
22,Cullman County,Alabama
23,Dale County,Alabama
24,Dallas County,Alabama
25,DeKalb County,Alabama
26,Elmore County,Alabama
27,Escambia County,Alabama
28,Etowah County,Alabama
29,Fayette County,Alabama
30,Franklin County,Alabama
31,Geneva County,Alabama
32,Greene County,Alabama
33,Hale County,Alabama
34,Henry County,Alabama
35,Houston County,Alabama
36,Jackson County,Alabama
37,Jefferson County,Alabama
38,Lamar County,Alabama
39,Lauderdale County,Alabama
40,Lawrence County,Alabama
41,Lee County,Alabama
42,Limestone County,Alabama
43,Lowndes County,Alabama
44,Macon County,Alabama
45,Madison County,Alabama
46,Marengo County,Alabama
47,Marion County,Alabama
48,Marshall County,Alabama
49,Mobile County,Alabama
50,Monroe County,Alabama
51,Montgomery County,Alabama
52,Morgan County,Alabama
53,Perry County,Alabama
54,Pickens County,Alabama
55,Pike County,Alabama
56,Randolph County,Alabama
57,Russell County,Alabama
58,St. Clair County,Alabama
59,Shelby County,Alabama
60,Sumter County,Alabama
61,Talladega County,Alabama
62,Tallapoosa County,Alabama
63,Tuscaloosa County,Alabama
64,Walker County,Alabama
65,Washington County,Alabama
66,Wilcox County,Alabama
67,Winston County,Alabama
68,Aleutians East Borough,Alaska
69,Aleutians West Census Area,Alaska
70,"Anchorage, Municipality of",Alaska
71,Bethel Census Area,Alaska
72,Bristol Bay Borough,Alaska
73,Denali Borough,Alaska
74,Dillingham Census Area,Alaska
75,Fairbanks North Star Borough,Alaska
76,Haines Borough,Alaska
77,Hoonah-Angoon Census Area,Alaska
78,"Juneau, City and Borough",Alaska
79,Kenai Peninsula Borough,Alaska
80,Ketchikan Gateway Borough,Alaska
81,Kodiak Island Borough,Alaska
82,Lake and Peninsula Borough,Alaska
83,Matanuska-Susitna Borough,Alaska
84,Nome Census Area,Alaska
85,North Slope Borough,Alaska
86,Northwest Arctic Borough,Alaska
87,Petersburg Census Area,Alaska
88,Prince of Wales-Hyder Census Area,Alaska
89,"Sitka, City and Borough of",Alaska
90,"Skagway Borough, Municipality of",Alaska
91,Southeast Fairbanks Census Area,Alaska
92,Valdez-Cordova Census Area,Alaska
93,Wade Hampton Census Area,Alaska
94,"Wrangell, City and Borough of",Alaska
95,"Yakutat, City and Borough of",Alaska
96,Yukon-Koyukuk Census Area,Alaska
97,Apache County,Arizona
98,Cochise County,Arizona
99,Coconino County,Arizona
100,Gila County,Arizona
101,Graham County,Arizona
102,Greenlee County,Arizona
103,La Paz County,Arizona
104,Maricopa County,Arizona
105,Mohave County,Arizona
106,Navajo County,Arizona
107,Pima County,Arizona
108,Pinal County,Arizona
109,Santa Cruz County,Arizona
110,Yavapai County,Arizona
111,Yuma County,Arizona
112,Arkansas County,Arkansas
113,Ashley County,Arkansas
114,Baxter County,Arkansas
115,Benton County,Arkansas
116,Boone County,Arkansas
117,Bradley County,Arkansas
118,Calhoun County,Arkansas
119,Carroll County,Arkansas
120,Chicot County,Arkansas
121,Clark County,Arkansas
122,Clay County,Arkansas
123,Cleburne County,Arkansas
124,Cleveland County,Arkansas
125,Columbia County,Arkansas
126,Conway County,Arkansas
127,Craighead County,Arkansas
128,Crawford County,Arkansas
129,Crittenden County,Arkansas
130,Cross County,Arkansas
131,Dallas County,Arkansas
132,Desha County,Arkansas
133,Drew County,Arkansas
134,Faulkner County,Arkansas
135,Franklin County,Arkansas
136,Fulton County,Arkansas
137,Garland County,Arkansas
138,Grant County,Arkansas
139,Greene County,Arkansas
140,Hempstead County,Arkansas
141,Hot Spring County,Arkansas
142,Howard County,Arkansas
143,Independence County,Arkansas
144,Izard County,Arkansas
145,Jackson County,Arkansas
146,Jefferson County,Arkansas
147,Johnson County,Arkansas
148,Lafayette County,Arkansas
149,Lawrence County,Arkansas
150,Lee County,Arkansas
151,Lincoln County,Arkansas
152,Little River County,Arkansas
153,Logan County,Arkansas
154,Lonoke County,Arkansas
155,Madison County,Arkansas
156,Marion County,Arkansas
157,Miller County,Arkansas
158,Mississippi County,Arkansas
159,Monroe County,Arkansas
160,Montgomery County,Arkansas
161,Nevada County,Arkansas
162,Newton County,Arkansas
163,Ouachita County,Arkansas
164,Perry County,Arkansas
165,Phillips County,Arkansas
166,Pike County,Arkansas
167,Poinsett County,Arkansas
168,Polk County,Arkansas
169,Pope County,Arkansas
170,Prairie County,Arkansas
171,Pulaski County,Arkansas
172,Randolph County,Arkansas
173,St. Francis County,Arkansas
174,Saline County,Arkansas
175,Scott County,Arkansas
176,Searcy County,Arkansas
177,Sebastian County,Arkansas
178,Sevier County,Arkansas
179,Sharp County,Arkansas
180,Stone County,Arkansas
181,Union County,Arkansas
182,Van Buren County,Arkansas
183,Washington County,Arkansas
184,White County,Arkansas
